District,State,Accident_Date,Accident_Time,Weather_Condition,Road_Type,Vehicles_Involved,Casualties,Latitude,Longitude
Mysuru,Karnataka,2023-11-25,00:52:40,Rainy,Rural Road,5,9,31.274259,78.847449
Dharamshala,Himachal Pradesh,2021-06-15,16:37:07,Rainy,Rural Road,5,1,20.945936,88.69759
Margao,Goa,2021-12-29,21:53:47,Clear,Rural Road,1,6,14.408865,73.330768
Bhilai,Chhattisgarh,2023-06-21,06:51:22,Foggy,Highway,4,1,20.741174,77.994412
Ludhiana,Punjab,2022-11-15,01:15:00,Stormy,Rural Road,4,6,28.989998,76.143054
Gurgaon,Haryana,2023-07-06,18:58:48,Foggy,Urban Road,3,2,26.70426,69.7718
Raipur,Chhattisgarh,2023-12-26,13:39:46,Foggy,Highway,4,4,23.803496,85.531974
Pathanamthitta,Kerala,2022-12-13,14:37:55,Foggy,Highway,2,9,23.326568,83.778816
Faridabad,Haryana,2022-02-28,06:15:55,Cloudy,Urban Road,3,3,29.74857,77.051865
Amritsar,Punjab,2022-09-25,11:15:50,Foggy,Highway,5,5,36.21691,95.834016
Aizawl,Mizoram,2022-11-27,14:29:53,Stormy,Rural Road,3,9,11.127282,70.562452
Mumbai,Maharashtra,2022-03-14,10:50:50,Cloudy,Rural Road,3,10,32.052579,94.030006
Bhubaneswar,Odisha,2024-09-05,19:07:53,Clear,Highway,5,6,15.505219,80.462321
Faridabad,Haryana,2023-05-24,23:09:10,Foggy,Highway,2,9,22.344477,75.323568
Haridwar,Uttarakhand,2024-08-22,09:14:46,Stormy,Rural Road,1,10,30.564035,88.276102
Shillong,Meghalaya,2022-01-06,12:44:38,Rainy,Rural Road,5,4,11.990232,79.006133
New Delhi,Delhi,2023-07-25,03:56:04,Stormy,Highway,3,9,20.981133,75.515358
Shillong,Meghalaya,2023-02-07,21:30:22,Foggy,Urban Road,2,0,10.295133,91.792739
Jaipur,Rajasthan,2023-12-15,00:05:04,Stormy,Urban Road,3,5,26.610643,91.965687
Haridwar,Uttarakhand,2023-12-03,14:55:28,Stormy,Highway,3,2,27.227161,82.904902
Mumbai,Maharashtra,2022-01-18,23:45:11,Stormy,Highway,2,9,33.576499,79.074088
Darjeeling,West Bengal,2024-07-09,18:13:31,Clear,Rural Road,5,10,11.54182,89.253312
Cuttack,Odisha,2022-06-15,22:25:36,Rainy,Urban Road,2,2,23.899055,75.78774
Agartala,Tripura,2023-12-17,17:16:53,Rainy,Urban Road,2,4,17.734307,86.239603
Darjeeling,West Bengal,2021-08-23,23:49:50,Foggy,Rural Road,4,7,26.865107,79.396599
Aizawl,Mizoram,2023-01-15,04:24:31,Foggy,Highway,5,6,18.743066,95.566463
Indore,Madhya Pradesh,2021-07-22,09:01:46,Foggy,Rural Road,3,2,8.672546,75.035289
Kolkata,West Bengal,2024-12-08,02:16:49,Stormy,Highway,2,10,30.315085,96.200778
Imphal,Manipur,2022-12-03,02:43:32,Clear,Highway,2,8,15.335453,92.715949
Shillong,Meghalaya,2022-05-12,09:36:25,Foggy,Urban Road,4,0,8.71704,76.59388
Tawang,Arunachal Pradesh,2024-08-13,10:34:41,Foggy,Urban Road,4,9,13.291574,79.963321
Bhubaneswar,Odisha,2024-01-09,10:40:22,Rainy,Rural Road,1,4,19.078882,82.901718
Madurai,Tamil Nadu,2024-05-05,12:20:35,Clear,Highway,4,9,34.005599,72.079788
Shimla,Himachal Pradesh,2024-07-31,00:01:47,Clear,Rural Road,3,2,8.638758,89.29596
Raipur,Chhattisgarh,2024-01-07,10:30:15,Rainy,Rural Road,4,5,27.42079,75.941926
Lucknow,Uttar Pradesh,2021-06-04,15:36:39,Foggy,Urban Road,1,0,29.252221,90.371049
Kanpur,Uttar Pradesh,2023-08-18,16:54:12,Foggy,Urban Road,1,2,14.560533,96.629872
Dibrugarh,Assam,2023-07-23,01:20:43,Clear,Highway,3,5,22.898994,80.487195
Kohima,Nagaland,2024-05-08,11:08:40,Rainy,Highway,3,8,13.036885,75.147784
Margao,Goa,2022-07-06,03:44:44,Stormy,Rural Road,5,7,8.151449,80.319189
New Delhi,Delhi,2023-08-09,15:17:10,Foggy,Rural Road,5,5,31.709528,91.819267
Udaipur,Rajasthan,2023-05-06,18:49:07,Foggy,Highway,2,2,23.690205,76.286294
Faridabad,Haryana,2024-03-26,04:31:25,Foggy,Rural Road,2,4,36.81941,74.794259
New Delhi,Delhi,2022-12-19,18:05:51,Foggy,Highway,5,9,14.109499,73.235645
Madurai,Tamil Nadu,2024-07-18,12:04:53,Stormy,Rural Road,5,6,36.094898,94.198356
Aizawl,Mizoram,2023-05-25,07:38:23,Foggy,Urban Road,4,1,33.523183,90.506067
Kanpur,Uttar Pradesh,2022-03-01,01:12:28,Foggy,Rural Road,3,8,14.863568,73.058557
Cuttack,Odisha,2024-01-11,18:51:26,Cloudy,Urban Road,4,9,26.466373,80.351944
Haridwar,Uttarakhand,2023-06-14,00:33:11,Rainy,Highway,4,0,24.448979,81.871339
Dehradun,Uttarakhand,2022-06-16,10:37:14,Stormy,Highway,4,4,34.767703,70.900585
Shillong,Meghalaya,2021-03-04,14:37:13,Stormy,Urban Road,3,9,18.73804,90.904953
Nagpur,Maharashtra,2023-03-12,16:39:17,Stormy,Rural Road,1,8,24.373491,68.656904
Raipur,Chhattisgarh,2023-09-29,22:14:46,Stormy,Rural Road,5,7,31.329156,68.448748
Haridwar,Uttarakhand,2021-05-31,20:04:04,Clear,Urban Road,2,3,36.209116,91.133321
Dimapur,Nagaland,2023-12-10,15:16:17,Cloudy,Highway,2,1,15.96816,72.192475
Udaipur,Rajasthan,2022-07-02,15:30:58,Cloudy,Highway,4,0,9.389816,76.936083
Kozhikode,Kerala,2021-12-01,15:59:32,Clear,Urban Road,2,10,30.047948,76.272483
Ranchi,Jharkhand,2021-06-13,23:04:27,Clear,Highway,4,7,19.210554,73.188381
Gurgaon,Haryana,2024-03-07,15:02:12,Stormy,Highway,5,10,22.435596,73.287684
Vadodara,Gujarat,2022-11-11,07:52:55,Foggy,Highway,4,5,34.470971,88.650264
Dibrugarh,Assam,2024-01-12,16:33:18,Stormy,Urban Road,1,10,20.233128,89.708965
Faridabad,Haryana,2023-12-09,09:15:27,Foggy,Urban Road,1,0,25.96006,72.261864
Bengaluru,Karnataka,2022-02-22,20:45:38,Rainy,Urban Road,2,9,9.192952,95.810371
Amritsar,Punjab,2024-10-04,23:42:13,Rainy,Urban Road,3,3,29.262139,91.890628
Patna,Bihar,2023-11-30,11:17:24,Clear,Urban Road,4,5,30.810075,95.203474
Jamshedpur,Jharkhand,2021-10-16,09:53:29,Clear,Rural Road,3,3,12.411666,75.606604
Mysuru,Karnataka,2021-08-30,06:38:34,Cloudy,Urban Road,1,1,26.81473,79.622278
Kolkata,West Bengal,2022-02-19,00:57:59,Cloudy,Rural Road,2,7,26.963085,75.567984
Jaipur,Rajasthan,2021-07-04,22:53:14,Stormy,Urban Road,4,0,15.350739,86.947139
New Delhi,Delhi,2021-07-28,11:08:46,Foggy,Rural Road,5,1,14.868133,93.706043
Gurgaon,Haryana,2023-10-23,12:55:47,Stormy,Highway,2,9,26.772734,77.919278
Dimapur,Nagaland,2022-06-14,06:42:32,Rainy,Rural Road,4,10,17.690925,79.721183
Mumbai,Maharashtra,2022-02-18,22:25:17,Clear,Urban Road,2,4,19.672852,81.639537
Guwahati,Assam,2023-08-21,10:56:48,Rainy,Urban Road,3,10,33.275745,68.520683
Dehradun,Uttarakhand,2024-10-30,16:54:06,Cloudy,Rural Road,3,9,17.263936,90.638824
Kottayam,Kerala,2023-10-08,22:20:05,Foggy,Urban Road,2,9,13.357574,86.754866
Dibrugarh,Assam,2022-12-16,14:30:52,Foggy,Highway,2,10,25.125052,81.306836
Cuttack,Odisha,2022-02-01,15:48:41,Foggy,Highway,1,2,29.438789,84.462251
Thiruvananthapuram,Kerala,2024-05-08,05:05:06,Cloudy,Urban Road,1,0,24.158643,72.088671
Ranchi,Jharkhand,2022-01-25,09:41:55,Stormy,Urban Road,1,10,27.296017,76.644876
Ranchi,Jharkhand,2022-11-23,12:10:33,Foggy,Highway,1,0,22.133646,80.567271
Agartala,Tripura,2022-01-22,16:31:25,Foggy,Highway,5,9,8.325904,72.837544
Kanpur,Uttar Pradesh,2025-02-14,22:31:18,Cloudy,Highway,1,7,19.169901,81.548083
Amritsar,Punjab,2021-08-29,09:41:40,Clear,Rural Road,4,8,12.970758,80.896195
Bengaluru,Karnataka,2022-07-05,10:21:34,Rainy,Highway,5,1,15.05139,95.647214
Ludhiana,Punjab,2024-05-01,16:38:06,Foggy,Highway,5,8,10.719074,78.347264
Margao,Goa,2022-01-20,01:53:38,Foggy,Highway,1,9,10.865796,69.217511
Kohima,Nagaland,2022-02-02,21:39:16,Stormy,Highway,4,6,33.151353,68.34565
Kolkata,West Bengal,2022-03-07,01:15:45,Rainy,Highway,1,3,24.352081,82.79825
Aizawl,Mizoram,2024-07-26,00:44:54,Stormy,Rural Road,1,10,18.05006,83.444045
Kolkata,West Bengal,2023-09-14,20:42:02,Foggy,Urban Road,2,0,29.954767,80.512811
Panaji,Goa,2022-04-03,10:27:00,Foggy,Urban Road,2,3,8.222585,77.732299
Guwahati,Assam,2022-10-27,12:21:43,Clear,Highway,4,9,18.115879,75.431405
Aizawl,Mizoram,2022-07-05,03:55:45,Clear,Highway,4,3,16.163063,80.147774
Aizawl,Mizoram,2021-11-13,18:23:58,Stormy,Highway,4,2,33.620937,75.324552
Panaji,Goa,2024-11-21,21:39:10,Cloudy,Rural Road,5,10,23.623789,85.697863
Ahmedabad,Gujarat,2023-03-26,01:54:57,Cloudy,Highway,1,4,32.22476,95.42386
Amritsar,Punjab,2022-05-21,00:13:35,Clear,Urban Road,2,6,17.918328,68.280378
Udaipur,Rajasthan,2023-12-11,07:11:19,Foggy,Rural Road,5,4,26.553601,87.384615
Warangal,Telangana,2021-06-21,11:55:10,Stormy,Urban Road,2,0,33.935691,77.828683
Hubli,Karnataka,2023-06-15,04:50:04,Cloudy,Highway,4,7,21.672923,76.5449
Darjeeling,West Bengal,2021-12-15,20:21:13,Stormy,Highway,2,9,36.3183,89.551508
Margao,Goa,2022-11-07,09:38:22,Rainy,Highway,2,2,33.794679,83.672648
Tawang,Arunachal Pradesh,2021-12-07,01:01:00,Foggy,Highway,3,3,26.672764,89.917541
Imphal,Manipur,2021-04-13,20:10:30,Stormy,Rural Road,4,8,8.025835,82.179993
Cuttack,Odisha,2022-06-01,01:44:29,Rainy,Urban Road,4,8,19.785161,81.866642
Itanagar,Arunachal Pradesh,2022-09-15,06:35:35,Cloudy,Rural Road,4,3,27.081213,84.780094
Jaipur,Rajasthan,2024-03-23,00:56:01,Clear,Urban Road,3,7,34.114539,75.160107
Guwahati,Assam,2024-01-20,20:17:36,Clear,Rural Road,2,2,35.520245,72.478566
Varanasi,Uttar Pradesh,2023-10-26,08:44:12,Rainy,Highway,4,4,28.78309,88.639161
Shillong,Meghalaya,2022-12-15,05:19:14,Foggy,Rural Road,3,6,29.418729,90.781694
Chennai,Tamil Nadu,2022-02-06,07:16:43,Rainy,Highway,1,3,20.032257,77.7735
Visakhapatnam,Andhra Pradesh,2023-12-18,10:04:07,Stormy,Urban Road,3,1,35.188691,88.458849
Agartala,Tripura,2021-03-02,15:38:03,Stormy,Highway,3,10,13.020395,72.422445
Tawang,Arunachal Pradesh,2023-12-04,16:22:16,Rainy,Highway,4,10,27.398739,68.274177
Dehradun,Uttarakhand,2024-05-08,21:44:00,Rainy,Highway,5,5,12.630262,68.511755
New Delhi,Delhi,2021-12-17,06:46:22,Foggy,Rural Road,1,10,25.789958,92.229941
Udaipur,Rajasthan,2024-10-28,01:12:44,Rainy,Rural Road,5,8,30.339126,82.087114
Amritsar,Punjab,2021-02-25,06:01:21,Stormy,Highway,5,0,13.102484,87.505983
Aizawl,Mizoram,2025-02-18,23:09:44,Rainy,Rural Road,1,5,14.684117,89.27248
Haridwar,Uttarakhand,2023-06-04,18:49:10,Foggy,Highway,4,6,29.693639,74.01138
Jabalpur,Madhya Pradesh,2023-06-27,22:23:05,Rainy,Urban Road,5,8,8.046578,76.051058
Shillong,Meghalaya,2022-01-02,10:00:53,Foggy,Urban Road,1,4,10.711937,93.218757
Dibrugarh,Assam,2024-01-20,01:19:34,Foggy,Rural Road,5,5,24.760847,75.392176
Kolkata,West Bengal,2024-02-06,08:05:53,Rainy,Highway,3,2,16.467949,71.294196
Bhopal,Madhya Pradesh,2023-07-20,11:47:26,Foggy,Highway,1,8,12.359895,84.533964
Surat,Gujarat,2021-10-06,18:20:47,Clear,Highway,3,5,28.266296,87.614016
New Delhi,Delhi,2021-06-24,21:20:26,Cloudy,Urban Road,1,5,17.01319,70.828404
Dibrugarh,Assam,2021-08-28,08:53:59,Clear,Highway,2,9,34.07961,80.145955
Agartala,Tripura,2024-08-15,13:00:54,Rainy,Highway,4,6,12.446584,80.971721
Mysuru,Karnataka,2021-12-01,11:52:37,Rainy,Urban Road,3,7,8.51969,69.024046
Jabalpur,Madhya Pradesh,2024-05-16,09:50:43,Foggy,Urban Road,1,7,32.652812,75.413741
Imphal,Manipur,2024-09-12,16:55:24,Stormy,Urban Road,3,5,35.463783,90.69341
Jabalpur,Madhya Pradesh,2021-05-26,00:27:08,Cloudy,Rural Road,4,3,20.464054,88.849362
Ranchi,Jharkhand,2022-05-06,13:26:47,Clear,Rural Road,1,8,35.249763,68.285145
Mumbai,Maharashtra,2024-02-15,22:35:48,Cloudy,Urban Road,4,3,11.940145,93.028053
Bhilai,Chhattisgarh,2022-10-25,14:47:24,Stormy,Highway,5,10,36.178484,73.239802
Faridabad,Haryana,2022-11-20,10:01:47,Stormy,Highway,5,2,18.199466,70.599078
Muzaffarpur,Bihar,2023-09-06,11:25:22,Foggy,Urban Road,1,4,35.649254,88.838235
Cuttack,Odisha,2021-05-08,12:05:37,Foggy,Highway,2,6,24.887032,90.032074
Tawang,Arunachal Pradesh,2023-07-16,12:47:54,Clear,Rural Road,2,10,27.897498,94.401592
Warangal,Telangana,2022-04-12,02:52:28,Clear,Highway,2,8,28.197343,87.219848
Raipur,Chhattisgarh,2023-01-30,02:49:03,Foggy,Highway,3,10,24.991579,95.794734
Chennai,Tamil Nadu,2023-07-27,08:13:32,Rainy,Urban Road,3,5,18.879099,84.362214
Hyderabad,Telangana,2022-10-10,14:50:32,Rainy,Highway,4,9,24.398424,81.772985
Mumbai,Maharashtra,2022-06-28,19:05:16,Foggy,Urban Road,5,0,21.048545,89.268069
Kohima,Nagaland,2024-04-23,02:41:11,Rainy,Highway,3,1,15.508724,91.637922
Visakhapatnam,Andhra Pradesh,2024-05-08,20:28:22,Rainy,Urban Road,4,2,15.90963,71.686782
Idukki,Kerala,2024-03-10,12:24:38,Clear,Urban Road,3,0,35.114458,69.579616
Itanagar,Arunachal Pradesh,2024-03-01,23:26:29,Clear,Highway,5,9,15.149418,84.134355
Raipur,Chhattisgarh,2022-12-27,08:47:16,Rainy,Highway,4,5,32.978544,71.105516
Surat,Gujarat,2025-02-01,03:08:16,Clear,Urban Road,1,1,22.544345,74.985244
Agartala,Tripura,2022-01-06,07:39:19,Clear,Rural Road,5,1,19.820222,89.992327
Dehradun,Uttarakhand,2023-03-03,02:30:16,Rainy,Highway,3,6,30.205568,70.041711
Dimapur,Nagaland,2021-09-20,04:29:33,Cloudy,Rural Road,3,4,30.479653,85.687384
Shimla,Himachal Pradesh,2021-11-05,12:23:35,Stormy,Highway,3,3,29.776639,82.371919
Jaipur,Rajasthan,2023-03-12,13:01:59,Foggy,Urban Road,3,9,28.793018,71.089877
Margao,Goa,2023-12-13,16:24:15,Stormy,Highway,3,3,8.547714,75.52359
Cuttack,Odisha,2023-05-10,05:09:16,Foggy,Rural Road,1,3,29.857829,81.347615
Udaipur,Rajasthan,2022-07-19,13:01:33,Cloudy,Rural Road,3,5,31.257705,86.222543
Pune,Maharashtra,2021-12-04,04:23:58,Rainy,Rural Road,1,9,15.094989,85.275189
Vadodara,Gujarat,2023-03-21,14:27:10,Foggy,Highway,5,7,21.243495,74.835133
Pune,Maharashtra,2025-01-15,05:14:03,Cloudy,Rural Road,2,0,14.753535,95.176205
Hubli,Karnataka,2024-05-12,17:32:27,Foggy,Highway,3,4,19.17305,80.773308
Panaji,Goa,2025-01-29,08:27:51,Cloudy,Highway,1,6,10.092672,90.756635
Raipur,Chhattisgarh,2022-02-24,11:29:26,Stormy,Rural Road,4,3,18.258599,69.823627
Ludhiana,Punjab,2021-03-10,17:48:35,Rainy,Urban Road,2,6,20.780882,72.638955
Aizawl,Mizoram,2024-11-02,18:58:07,Stormy,Highway,1,4,33.95848,75.893404
Hubli,Karnataka,2024-08-10,23:43:22,Clear,Highway,4,6,22.069992,96.919119
Margao,Goa,2022-05-05,14:12:53,Rainy,Urban Road,4,8,17.844265,77.591007
New Delhi,Delhi,2024-11-29,01:36:24,Cloudy,Highway,5,8,19.350495,84.581627
Cuttack,Odisha,2024-08-28,02:09:38,Clear,Highway,3,9,27.797667,86.817437
Kanpur,Uttar Pradesh,2021-05-24,11:15:37,Clear,Highway,2,2,15.642442,77.66887
Ahmedabad,Gujarat,2022-02-07,22:07:40,Stormy,Rural Road,4,9,21.255771,85.210375
Tawang,Arunachal Pradesh,2024-04-19,16:29:15,Stormy,Urban Road,3,1,27.344796,86.121313
Raipur,Chhattisgarh,2021-06-19,21:56:31,Cloudy,Urban Road,3,2,31.630518,91.209319
Mumbai,Maharashtra,2024-10-10,00:48:17,Cloudy,Highway,4,6,28.872565,81.636718
Margao,Goa,2023-07-09,07:59:45,Stormy,Rural Road,4,4,12.583459,77.678006
Thrissur,Kerala,2022-06-25,02:42:32,Foggy,Urban Road,1,6,20.115226,85.497744
Lucknow,Uttar Pradesh,2024-09-17,10:29:21,Rainy,Highway,5,1,14.035644,79.033057
Pune,Maharashtra,2021-06-10,03:29:12,Cloudy,Rural Road,3,2,28.322658,81.601698
Faridabad,Haryana,2024-06-13,05:32:27,Cloudy,Highway,4,1,30.619117,80.150048
Guntur,Andhra Pradesh,2022-09-26,07:53:21,Cloudy,Highway,3,6,16.16262,90.083538
Imphal,Manipur,2024-10-24,16:20:15,Rainy,Urban Road,5,4,16.52159,78.055349
Jaipur,Rajasthan,2023-05-16,01:37:12,Rainy,Urban Road,1,3,19.482689,76.9035
Bhubaneswar,Odisha,2023-08-01,22:26:50,Stormy,Urban Road,1,10,14.844598,76.233898
Agartala,Tripura,2022-04-08,23:17:30,Cloudy,Highway,3,6,20.947138,69.128544
Jabalpur,Madhya Pradesh,2023-01-17,04:53:31,Cloudy,Highway,3,10,16.707104,82.066768
Madurai,Tamil Nadu,2021-11-03,02:41:00,Foggy,Urban Road,4,4,30.151028,73.9785
Chennai,Tamil Nadu,2023-03-30,16:10:11,Cloudy,Urban Road,1,1,30.980522,68.621065
Agartala,Tripura,2022-11-04,05:49:55,Clear,Rural Road,1,1,8.034706,96.217623
Varanasi,Uttar Pradesh,2022-02-18,00:32:56,Stormy,Rural Road,1,8,16.933414,93.579616
Patna,Bihar,2024-09-02,09:14:25,Foggy,Highway,4,8,17.306131,82.599587
Nagpur,Maharashtra,2023-07-02,08:54:07,Rainy,Urban Road,1,4,28.802923,88.249108
Amritsar,Punjab,2021-08-23,16:47:55,Stormy,Rural Road,2,0,26.862717,78.371952
Guwahati,Assam,2023-10-24,17:44:13,Clear,Highway,4,10,33.59842,85.295898
New Delhi,Delhi,2024-02-26,15:09:12,Clear,Rural Road,5,0,32.423494,87.217159
Dharamshala,Himachal Pradesh,2022-01-28,09:02:16,Foggy,Highway,2,4,24.009301,68.281551
Imphal,Manipur,2021-05-22,07:30:45,Clear,Highway,2,4,30.846084,76.393602
Patna,Bihar,2023-06-30,23:16:08,Rainy,Highway,3,8,19.651055,69.048224
Panaji,Goa,2021-10-03,09:31:43,Rainy,Urban Road,4,2,28.944027,73.718738
Kollam,Kerala,2023-12-20,01:00:26,Cloudy,Urban Road,5,3,9.098322,82.474619
Kanpur,Uttar Pradesh,2022-10-07,14:42:42,Foggy,Highway,1,10,24.503553,79.985133
Dehradun,Uttarakhand,2022-04-22,05:29:34,Rainy,Rural Road,5,10,9.42602,96.227987
Raipur,Chhattisgarh,2023-10-18,23:43:25,Stormy,Highway,2,4,29.167695,88.564471
Jamshedpur,Jharkhand,2023-04-17,04:19:22,Rainy,Highway,5,3,9.585546,77.297541
Thrissur,Kerala,2022-06-11,21:28:56,Foggy,Rural Road,2,0,32.424028,76.037376
Pune,Maharashtra,2021-09-17,08:22:29,Cloudy,Urban Road,4,10,28.759948,90.95595
Hyderabad,Telangana,2025-01-05,12:49:13,Foggy,Urban Road,1,0,15.398713,80.863061
Tawang,Arunachal Pradesh,2023-11-12,11:44:57,Foggy,Rural Road,5,5,30.025422,90.821964
Margao,Goa,2023-06-24,09:15:43,Foggy,Urban Road,3,10,30.025107,85.388885
Dharamshala,Himachal Pradesh,2024-09-28,05:44:29,Foggy,Highway,2,2,27.358636,78.290977
Agartala,Tripura,2024-09-27,05:28:17,Cloudy,Urban Road,5,5,29.472898,72.579776
Udaipur,Rajasthan,2022-10-23,19:47:28,Cloudy,Rural Road,1,4,13.439655,75.376586
Pune,Maharashtra,2022-09-13,09:23:21,Clear,Urban Road,2,6,20.287085,87.31001
Gurgaon,Haryana,2024-05-08,10:05:04,Clear,Highway,4,5,26.264102,88.741092
Dimapur,Nagaland,2021-07-23,04:10:15,Foggy,Rural Road,2,7,31.182725,76.915804
Faridabad,Haryana,2022-08-15,04:53:32,Foggy,Rural Road,2,10,28.865759,72.28615
Raipur,Chhattisgarh,2022-07-27,15:55:19,Rainy,Highway,2,7,27.382541,76.70102
Shillong,Meghalaya,2023-01-25,08:59:57,Cloudy,Highway,2,8,32.627718,71.816179
Aizawl,Mizoram,2021-04-14,05:33:47,Cloudy,Rural Road,5,3,9.604458,86.333805
Imphal,Manipur,2021-11-17,11:20:31,Clear,Rural Road,5,7,13.963082,91.618284
Wayanad,Kerala,2024-02-16,19:57:48,Stormy,Highway,3,1,14.566571,70.562463
Agartala,Tripura,2022-03-23,08:13:50,Cloudy,Highway,1,4,26.402037,79.576838
Shillong,Meghalaya,2024-12-14,06:47:29,Stormy,Highway,1,0,30.992635,91.931823
Chennai,Tamil Nadu,2021-05-16,19:30:14,Rainy,Urban Road,4,9,8.945471,80.892005
Itanagar,Arunachal Pradesh,2024-03-11,15:00:26,Stormy,Rural Road,4,2,34.566137,90.345943
Patna,Bihar,2021-12-23,10:21:24,Clear,Highway,2,7,32.094219,73.438879
Margao,Goa,2021-10-31,01:06:42,Rainy,Urban Road,5,8,11.54681,83.070415
Udaipur,Rajasthan,2022-06-08,13:40:21,Rainy,Urban Road,2,3,29.983438,77.244515
Visakhapatnam,Andhra Pradesh,2024-05-18,16:26:01,Foggy,Urban Road,2,8,16.468431,70.744062
New Delhi,Delhi,2023-03-06,01:08:33,Clear,Highway,5,10,9.289031,83.37429
Margao,Goa,2022-04-07,05:05:38,Cloudy,Rural Road,3,7,34.440651,72.562556
Dharamshala,Himachal Pradesh,2023-05-03,19:41:30,Stormy,Highway,1,8,11.809106,77.418624
Aizawl,Mizoram,2023-12-30,19:53:05,Clear,Rural Road,3,5,11.635539,70.189305
Indore,Madhya Pradesh,2023-07-26,16:11:40,Stormy,Highway,4,4,17.069273,76.282291
Margao,Goa,2022-04-07,00:34:27,Rainy,Rural Road,4,7,32.42208,82.648805
Dibrugarh,Assam,2022-10-12,23:36:01,Stormy,Rural Road,4,3,13.449115,84.26804
Dharamshala,Himachal Pradesh,2024-06-28,19:01:06,Rainy,Highway,5,1,18.150366,83.971245
Haridwar,Uttarakhand,2023-07-04,16:45:21,Rainy,Highway,1,2,19.029422,95.576569
Kanpur,Uttar Pradesh,2021-04-27,07:55:14,Stormy,Rural Road,5,9,27.261909,76.788158
Bhubaneswar,Odisha,2024-11-02,21:43:20,Cloudy,Urban Road,2,7,30.325779,96.366211
Udaipur,Rajasthan,2024-05-31,13:16:35,Stormy,Highway,2,9,24.786775,82.673465
Haridwar,Uttarakhand,2022-03-12,18:40:12,Stormy,Urban Road,3,7,35.62387,71.03565
Darjeeling,West Bengal,2023-04-16,22:21:20,Foggy,Rural Road,1,8,30.352317,75.212595
Guntur,Andhra Pradesh,2023-07-15,00:25:29,Clear,Rural Road,2,4,15.288575,83.120094
Shillong,Meghalaya,2022-11-18,22:20:32,Stormy,Highway,3,1,18.085716,91.564967
Itanagar,Arunachal Pradesh,2022-08-10,02:36:13,Cloudy,Rural Road,1,1,19.412071,79.078663
Aizawl,Mizoram,2021-03-21,13:04:07,Clear,Urban Road,5,3,9.107104,86.502452
Guwahati,Assam,2023-12-14,08:28:54,Foggy,Urban Road,3,5,35.190797,94.836979
Gaya,Bihar,2022-10-06,04:52:32,Stormy,Rural Road,3,3,13.823915,77.019468
Raipur,Chhattisgarh,2024-06-13,15:21:09,Stormy,Urban Road,5,9,15.10487,79.036733
Kozhikode,Kerala,2021-03-05,17:03:14,Stormy,Urban Road,2,4,10.217627,90.005279
Cuttack,Odisha,2023-02-24,18:04:26,Stormy,Urban Road,3,10,23.086416,77.482632
Aizawl,Mizoram,2021-09-08,07:31:54,Cloudy,Highway,5,2,30.465787,69.920933
Raipur,Chhattisgarh,2024-01-30,20:47:55,Foggy,Urban Road,4,4,19.242645,75.693141
Shimla,Himachal Pradesh,2023-02-21,03:50:57,Cloudy,Highway,2,4,34.363998,89.222655
New Delhi,Delhi,2024-05-04,18:54:01,Clear,Highway,4,0,11.343901,76.851321
Lucknow,Uttar Pradesh,2022-10-29,19:42:21,Foggy,Highway,5,2,34.784913,77.277588
Pune,Maharashtra,2024-03-12,20:24:06,Cloudy,Highway,3,9,21.290217,81.799399
Hyderabad,Telangana,2022-07-18,20:21:41,Cloudy,Highway,1,3,10.471524,75.359095
Kohima,Nagaland,2025-01-31,15:57:42,Rainy,Highway,2,3,26.13815,68.759358
Kolkata,West Bengal,2023-06-26,12:54:24,Rainy,Highway,2,9,30.566214,70.254427
Dimapur,Nagaland,2025-01-02,16:47:34,Rainy,Urban Road,1,0,23.435765,94.880174
Indore,Madhya Pradesh,2024-01-06,06:20:23,Rainy,Highway,4,0,26.266064,79.324056
Bhilai,Chhattisgarh,2022-04-06,18:32:56,Cloudy,Urban Road,2,6,19.503179,81.969603
Warangal,Telangana,2024-02-02,03:02:15,Clear,Rural Road,2,2,32.6948,78.561691
Hubli,Karnataka,2024-08-09,15:18:54,Foggy,Highway,2,3,29.479605,82.362997
Dehradun,Uttarakhand,2021-11-11,00:34:31,Clear,Urban Road,2,6,31.511288,92.604551
Udaipur,Rajasthan,2024-07-16,10:27:49,Clear,Rural Road,3,3,18.198038,77.884415
Jabalpur,Madhya Pradesh,2024-08-23,09:54:11,Stormy,Urban Road,3,1,29.782563,87.376391
Dehradun,Uttarakhand,2023-07-03,06:14:21,Stormy,Highway,5,10,8.745687,93.826252
Agartala,Tripura,2024-12-12,05:07:02,Rainy,Rural Road,3,1,30.409073,73.538107
Itanagar,Arunachal Pradesh,2023-03-31,16:33:24,Foggy,Highway,2,5,14.815337,83.294126
Agartala,Tripura,2023-12-26,02:50:39,Stormy,Highway,4,3,21.72321,92.422938
Guwahati,Assam,2023-08-31,20:09:44,Rainy,Urban Road,4,3,27.615149,89.200262
New Delhi,Delhi,2022-04-09,21:44:19,Rainy,Rural Road,3,2,11.634753,89.832258
Dibrugarh,Assam,2021-04-24,16:36:38,Cloudy,Rural Road,5,10,24.625991,73.697549
Tawang,Arunachal Pradesh,2024-09-03,11:05:54,Foggy,Urban Road,5,1,31.494941,92.830422
Imphal,Manipur,2023-02-04,11:45:55,Rainy,Rural Road,1,10,22.214012,69.881405
